date,target,close_date,direction,prob,reason_class,prev_close,close,ret_pct,actual,status,hit,flat
2026-09-15,KOSPI,2026-09-15,하락,60,매크로,6684.37,6627.26,-0.854,하락,채점,1,0
2026-09-15,SP500,2026-09-15,하락,55,매크로,7619.98,7585.73,-0.449,하락,채점,1,0
2026-09-16,KOSPI,2026-09-16,하락,58,매크로,6627.26,6717.97,1.369,상승,채점,0,0
2026-09-16,SP500,2026-09-16,하락,53,이벤트,7585.73,7551.81,-0.447,하락,채점,1,0
2026-09-17,KOSPI,2026-09-17,하락,62,이벤트,6717.97,6715.41,-0.038,하락,채점,1,1
2026-09-17,SP500,2026-09-17,하락,52,매크로,7551.81,7637.76,1.138,상승,채점,0,0
